,Item_Identifier,Outlet_Identifier,item_outlet_sales
230,FDY45,OUT013,1531.4361904761909
231,FDA22,OUT010,1354.735
232,FDE02,OUT035,1545.8333333333335
233,FDW21,OUT045,1389.7443333333329
234,FDV34,OUT046,2005.85
235,FDS59,OUT049,1633.916666666667
236,NCW17,OUT017,2017.6276666666665
237,NCK54,OUT046,859.6666666666667
238,FDG17,OUT019,1814.5633333333335
239,FDG35,OUT017,1530.4616666666666
240,FDD08,OUT010,1632.3
241,NCO07,OUT017,1920.2483333333334
242,FDJ10,OUT010,2262.349
243,FDW36,OUT017,340.65
244,FDW21,OUT010,1957.09
245,FDY19,OUT017,2395.87
246,DRE03,OUT013,2176.54
247,NCC55,OUT049,383.86393939393935
248,FDH52,OUT010,2151.8295213749957
249,FDO09,OUT017,1047.44
250,FDU43,OUT045,1666.125
251,FDX09,OUT010,2000.0114285714285
252,FDH40,OUT019,2304.36239640009
253,FDW58,OUT017,1109.82
254,FDC47,OUT017,1529.49
255,NCR41,OUT035,528.05
256,DRG49,OUT035,2209.7689742919274
257,FDC52,OUT027,267.25299606077266
258,FDY13,OUT046,1072.81
259,FDY35,OUT013,395.5030072895372
260,FDI35,OUT017,1623.38
261,NCU18,OUT049,2508.7433430134356
262,FDY33,OUT018,1808.2366666666667
263,FDC15,OUT027,291.23985477864926
264,FDU01,OUT049,1567.512666666667
265,NCU42,OUT046,1323.2316666666666
266,NCV29,OUT018,1142.3025
267,NCY30,OUT017,1288.39
268,FDQ46,OUT049,1413.715595238095
269,FDG58,OUT027,2130.839003251454
270,FDK33,OUT017,1202.49
271,NCD07,OUT045,1956.6162393566037
272,NCX29,OUT027,1898.0566666666666
273,NCT42,OUT013,471.376
274,DRN59,OUT035,1739.0275
275,FDI44,OUT035,1575.57
276,FDA45,OUT049,342.21
277,FDP31,OUT045,1362.615
278,FDY01,OUT046,1882.34
279,FDT09,OUT018,1103.24
280,DRH03,OUT027,2302.085666666667
281,FDA36,OUT018,1971.6241666666665
282,NCF31,OUT017,1512.43
283,FDG14,OUT049,1755.97
284,FDG28,OUT027,1881.14
285,FDU14,OUT049,1249.835
286,FDY47,OUT019,271.23773365540546
287,FDI56,OUT049,1541.92
288,DRD01,OUT013,901.63
289,FDM22,OUT046,1397.64
290,FDH33,OUT013,1940.9525
291,DRZ24,OUT013,1679.121666666667
292,NCQ38,OUT046,2302.9207528125694
293,FDO16,OUT027,1373.1433333333332
294,FDU07,OUT027,1652.63
295,NCB07,OUT013,2062.35
296,FDU48,OUT045,347.5783925572162
297,NCM43,OUT045,1800.83
298,FDR31,OUT010,267.9167368914868
299,DRK49,OUT018,1130.25
300,NCI30,OUT010,444.14
301,DRD60,OUT017,1359.96
302,NCG19,OUT046,2613.6938168618817
303,FDH12,OUT035,2176.132888888889
304,FDM32,OUT035,1867.95
305,FDM27,OUT035,1644.77
306,NCU53,OUT027,484.55
307,NCQ18,OUT046,1537.43
308,FDS10,OUT013,1634.98
309,FDB33,OUT027,366.8006315098729
310,FDI12,OUT013,1602.548594308469
311,NCW42,OUT013,795.7624999999998
312,NCC06,OUT018,233.8
313,FDW02,OUT017,369.2295952380952
314,NCD43,OUT017,327.12
315,FDM57,OUT018,1509.64
316,FDA58,OUT017,2398.114075809984
317,FDK56,OUT046,1500.19
318,FDP52,OUT045,1506.7835
319,FDW20,OUT018,912.89
320,FDS52,OUT049,1898.94
321,NCT29,OUT018,398.04707645283
322,NCL54,OUT013,323.635
323,FDC05,OUT045,1282.6956428571427
324,FDF34,OUT035,1613.8916666666667
325,FDP03,OUT027,2398.114075809984
326,FDD32,OUT010,2097.2819999999997
327,FDZ10,OUT045,2310.172095238095
328,FDZ40,OUT035,837.46
329,FDD51,OUT018,2075.846666666667
330,NCY30,OUT019,323.5718232323232
331,FDP58,OUT017,2508.7433430134356
332,FDV49,OUT017,1971.727
333,FDY24,OUT019,1723.74
334,NCO55,OUT017,327.1013141555609
335,FDR13,OUT017,1667.92
336,FDS51,OUT017,2346.07
337,FDP26,OUT045,1888.267
338,NCB54,OUT027,288.57
339,FDF32,OUT017,1623.3497777777777
340,FDN31,OUT018,2072.296666666667
341,DRM48,OUT017,1526.87
342,FDN20,OUT049,1130.78
343,DRL01,OUT046,1271.92
344,FDV56,OUT049,2083.076666666667
345,DRH13,OUT027,2842.25
346,FDA03,OUT017,1634.295
347,FDF47,OUT027,1746.5575
348,FDX32,OUT046,2185.2941239593742
349,FDX57,OUT049,873.4166666666667
350,NCA30,OUT045,1401.19
351,FDO49,OUT013,1427.1950000000004
352,FDL04,OUT019,1318.3291666666669
353,DRM48,OUT035,1487.7831666666666
354,FDR16,OUT013,1553.41
355,NCC19,OUT018,329.0570271219489
356,NCE42,OUT045,1370.9666666666665
357,FDY24,OUT017,325.38874626027575
358,FDH19,OUT049,1881.66
359,FDJ46,OUT013,985.2643333333333
360,FDN45,OUT010,291.23985477864926
361,FDY08,OUT035,1669.49
362,FDZ37,OUT035,1377.246
363,NCT30,OUT045,1764.8974285714287
364,DRY23,OUT018,1395.64
365,NCZ30,OUT018,2097.97
366,FDC44,OUT018,2324.6681142058906
367,FDB45,OUT035,463.28
368,FDY04,OUT013,2151.8295213749957
369,FDM27,OUT046,2046.7
370,FDZ43,OUT017,1353.1282857142858
371,FDT39,OUT019,1075.75
372,NCC06,OUT019,1828.12
373,FDL15,OUT027,1672.6142857142859
374,FDL57,OUT017,1393.025666666667
375,FDU08,OUT046,1359.64
376,FDK40,OUT017,1215.3725
377,FDQ12,OUT010,1864.83
378,FDS48,OUT017,1870.6961666666664
379,FDP09,OUT045,2398.114075809984
380,FDW21,OUT049,1649.67
381,FDY25,OUT035,2130.839003251454
382,DRE13,OUT017,1503.6441666666665
383,FDV43,OUT019,2416.421413970519
384,FDD22,OUT045,2006.9433333333334
385,FDM46,OUT019,1055.83
386,NCO30,OUT010,2157.18
387,FDM25,OUT046,2566.34
388,NCN41,OUT049,2130.839003251454
389,FDU24,OUT045,2385.1548084950537
390,FDZ50,OUT046,1340.22
391,FDP45,OUT013,941.77
392,NCM54,OUT045,1671.2
393,FDW10,OUT019,1694.774
394,FDP20,OUT017,1778.5625
395,FDK32,OUT046,1181.62
396,FDN52,OUT049,2151.8295213749957
397,FDM58,OUT045,1374.6158333333335
398,FDZ46,OUT027,347.5783925572162
399,NCA18,OUT018,1161.78
400,FDD35,OUT046,1111.904
401,NCK31,OUT035,1056.9596666666666
402,FDI40,OUT027,2613.6938168618817
403,FDT50,OUT019,293.99036438923395
404,NCT06,OUT046,245.64166666666668
405,FDT31,OUT035,1489.4516666666668
406,FDT45,OUT049,304.3665871603027
407,FDT13,OUT045,2170.1686666666665
408,FDO50,OUT045,1686.22
409,NCU18,OUT010,1724.44
410,NCR54,OUT049,2094.9
411,NCO18,OUT018,1507.3475
412,FDU09,OUT045,1348.81
413,FDT13,OUT018,1864.7642857142857
414,FDE09,OUT046,2179.0133333333333
415,NCK53,OUT019,1815.425
416,FDG45,OUT049,1517.93
417,DRH15,OUT035,1553.5666666666666
418,FDO21,OUT019,2151.8295213749957
419,FDD14,OUT027,2139.0005952380952
420,FDC09,OUT046,1441.11
421,FDH45,OUT027,2209.7689742919274
422,FDV32,OUT046,1294.0
423,FDG12,OUT035,366.8006315098729
424,FDS32,OUT013,145.3275
425,NCL55,OUT018,1368.4516666666666
426,DRE01,OUT035,1325.053333333333
427,DRE15,OUT049,1635.56
428,NCL42,OUT045,1669.0808333333334
429,FDP31,OUT013,2351.84
430,FDN33,OUT018,1847.78
431,FDZ59,OUT046,1789.39
432,FDE45,OUT010,1336.87
433,FDJ07,OUT013,1367.115
434,FDQ45,OUT018,186.15
435,FDM33,OUT027,1186.14
436,FDO15,OUT010,2398.114075809984
437,FDM46,OUT013,1301.49
438,FDR03,OUT045,335.7801904761904
439,FDY49,OUT018,1725.33
440,FDQ60,OUT045,2243.9114407792918
441,FDW10,OUT049,1069.2246666666667
442,FDO51,OUT049,357.08
443,FDJ40,OUT018,1342.3783333333333
444,FDS20,OUT018,1956.6162393566037
445,FDU45,OUT013,759.84
446,FDV02,OUT035,2378.99
447,FDN09,OUT046,572.25
448,NCM55,OUT027,2202.06
449,FDN23,OUT018,1042.82
450,FDY31,OUT010,1315.8129285714285
451,FDW03,OUT010,1609.615
452,FDD14,OUT046,2352.052794496997
453,FDV23,OUT017,1914.2766666666669
454,DRI03,OUT045,1767.7678333333333
455,FDN13,OUT035,1422.3533333333335
456,FDF45,OUT027,2398.114075809984
457,FDU46,OUT035,1649.82
458,FDB57,OUT049,309.31290163195695
459,FDV12,OUT049,1405.023
460,FDQ58,OUT013,309.31290163195695
461,NCA18,OUT017,1984.18
462,FDH52,OUT049,1431.4
463,FDM24,OUT018,2072.535
464,NCP43,OUT027,1178.63
465,NCO18,OUT019,1347.04
466,FDM32,OUT017,1487.6391666666666
467,NCL07,OUT017,1311.7616666666668
468,FDK03,OUT013,1958.1868452380957
469,FDP59,OUT017,1750.05
470,FDQ24,OUT049,1911.1575
471,FDQ16,OUT018,1178.77
472,FDU44,OUT013,1853.6066666666668
473,FDH28,OUT010,2146.095
474,FDV28,OUT019,2425.5100069048603
475,FDM22,OUT045,2726.4975
476,FDR56,OUT046,1524.34
477,FDV39,OUT049,1745.51
478,FDU37,OUT019,2465.33
479,FDQ11,OUT010,1893.33
480,FDX02,OUT045,278.1674330489773
481,NCS42,OUT018,2005.695
482,FDY57,OUT027,1840.648150793651
483,FDB21,OUT049,281.2328957724852
484,FDE28,OUT017,2104.58
485,FDQ55,OUT017,1683.8123333333333
486,FDA48,OUT049,1622.047
487,FDZ19,OUT045,2144.1716666666666
488,NCC43,OUT045,1047.205
489,NCV18,OUT046,1021.5060000000001
490,NCA42,OUT018,2064.92
491,FDY45,OUT046,1087.922
492,NCC30,OUT045,1733.6803333333335
493,FDM57,OUT013,1897.0483333333334
494,FDL09,OUT010,1517.55
495,FDB09,OUT027,1640.7613333333334
496,FDT44,OUT035,965.7941666666666
497,NCT06,OUT027,1798.15
498,FDX26,OUT049,1551.685
499,FDK32,OUT013,1649.5155
500,DRA12,OUT046,1454.4901666666667
501,FDO46,OUT010,2223.36
502,FDE52,OUT013,1679.54
503,NCH42,OUT045,1835.2148333333334
504,FDV08,OUT035,1877.36
505,FDB47,OUT018,189.08
506,FDC28,OUT010,1637.5065
507,FDD22,OUT046,1222.095
508,FDS07,OUT027,1359.3325
509,DRI13,OUT045,311.8805431956582
510,FDG32,OUT018,1423.73
511,FDU14,OUT017,1606.48
512,FDD28,OUT019,855.0483333333334
513,NCP41,OUT017,1245.8266666666668
514,FDS08,OUT049,1832.5750952380954
515,FDX47,OUT045,1572.5076666666666
516,FDC53,OUT019,1501.875
517,FDQ19,OUT035,1907.55
518,FDL14,OUT045,225.61
519,FDM33,OUT019,2276.222133508891
520,FDA51,OUT045,1191.41
521,FDZ27,OUT018,1799.697
522,FDT04,OUT046,2209.7689742919274
523,DRC13,OUT049,1585.565
524,FDR16,OUT027,2216.58
525,FDQ03,OUT027,1688.2409285714282
526,FDE38,OUT035,1599.1
527,DRH23,OUT027,2613.6938168618817
528,FDT11,OUT019,1899.5
529,FDD09,OUT035,1743.7616666666665
530,FDR40,OUT045,949.98
531,FDX07,OUT017,2276.222133508891
532,FDR07,OUT035,342.15523674343365
533,FDA51,OUT017,2398.114075809984
534,FDT59,OUT019,2613.6938168618817
535,FDF20,OUT017,1370.2166666666665
536,FDR13,OUT045,205.24974698869454
537,FDY26,OUT049,1328.755
538,FDW04,OUT017,631.1
539,FDK52,OUT017,1598.5216666666665
540,FDN60,OUT049,2587.2895000000003
541,FDM09,OUT019,2024.4520000000002
542,FDP46,OUT049,1426.82
543,FDB50,OUT019,391.73833333333334
544,NCQ29,OUT049,1687.325
545,FDP16,OUT027,1686.6889999999999
546,FDX33,OUT018,932.0
547,FDP07,OUT010,1793.2823333333333
548,FDN22,OUT046,2167.22
549,FDF39,OUT049,2191.4740476190477
550,FDS21,OUT017,1136.62
551,NCM42,OUT013,311.8805431956582
552,FDK50,OUT019,1341.146
553,DRF13,OUT027,1466.57
554,FDH35,OUT018,272.0709082464175
555,FDP60,OUT018,2112.11
556,DRJ49,OUT027,1656.74
557,NCT42,OUT019,1992.04
558,FDE38,OUT049,920.21
559,FDI04,OUT049,1827.91
560,NCH54,OUT045,1975.1425
561,FDT56,OUT049,1328.32
562,DRD15,OUT018,1725.9886666666666
563,FDV58,OUT013,1318.3525
564,FDP21,OUT049,1595.6391666666666
565,FDH05,OUT013,1433.5485714285717
566,FDR10,OUT027,1136.032
567,NCP06,OUT045,1583.53
568,FDF33,OUT049,1767.7678333333333
569,DRK37,OUT013,1462.445
570,DRH49,OUT045,1518.85
571,FDT58,OUT013,273.999768627451
572,FDD41,OUT018,267.9167368914868
573,FDP40,OUT018,1669.0383333333332
574,FDM51,OUT027,255.0806428571429
575,FDO45,OUT010,1180.2683333333334
576,FDW33,OUT010,1133.63
577,FDY24,OUT045,2304.36239640009
578,FDB10,OUT010,267.9167368914868
579,FDM40,OUT035,2081.6866666666665
580,NCI06,OUT017,1768.44
581,FDW12,OUT019,2174.78
582,FDX48,OUT027,1207.14
583,NCW05,OUT027,1333.99
584,FDX27,OUT017,2324.6681142058906
585,DRM37,OUT045,1880.05
586,FDA38,OUT045,1769.44
587,FDR36,OUT046,187.781626984127
588,FDZ45,OUT046,1933.7368290447093
589,FDG05,OUT017,1917.65
590,FDK28,OUT013,1524.57
591,FDV47,OUT045,1413.715595238095
592,FDN21,OUT045,1943.382
593,FDP20,OUT027,2304.36239640009
594,FDI35,OUT045,1659.694166666667
595,DRY23,OUT013,1744.34
596,FDA56,OUT017,2235.884
597,FDB09,OUT013,1952.74
598,NCO26,OUT027,1707.9101666666663
599,FDQ49,OUT018,1701.1040000000003
600,FDI52,OUT027,1255.67
601,FDZ44,OUT027,2209.7689742919274
602,FDZ09,OUT018,596.95
603,FDY03,OUT049,1984.39
604,NCG42,OUT017,2326.56
605,DRI13,OUT027,1621.2858333333331
606,FDQ32,OUT013,2508.7433430134356
607,FDW16,OUT035,1562.806
608,FDU27,OUT046,2078.57
609,FDR28,OUT010,2165.95
610,FDQ49,OUT010,1953.1873333333338
611,FDS37,OUT046,2016.15
612,FDW26,OUT018,1346.68
613,FDX12,OUT018,2087.3283333333334
614,NCP06,OUT013,2077.57
615,FDW45,OUT010,2472.3491666666664
616,NCN30,OUT049,406.66
617,FDN24,OUT049,1313.91
618,NCL41,OUT027,712.9
619,FDR02,OUT019,1984.47
620,FDD09,OUT010,985.4279999999999
621,FDS33,OUT010,2383.24
622,FDU22,OUT045,2352.052794496997
623,FDI53,OUT013,911.2
624,DRH01,OUT049,1199.135
625,FDX32,OUT013,2324.6681142058906
626,NCP30,OUT018,1360.970833333333
627,FDB60,OUT045,894.57
628,FDB14,OUT049,1524.897
629,NCP02,OUT035,2158.6066666666666
630,FDJ10,OUT017,2508.7433430134356
631,FDG34,OUT046,1373.03
632,NCB18,OUT017,1440.2283333333335
633,FDM16,OUT049,2359.5538888888887
634,FDW25,OUT018,2078.607666666667
635,FDB35,OUT010,1917.68
636,DRN11,OUT013,1328.45
637,FDF41,OUT019,1539.8464999999999
638,FDH16,OUT045,320.65
639,NCQ50,OUT018,272.0709082464175
640,DRH23,OUT018,1833.055
641,DRJ37,OUT013,523.025
642,DRJ24,OUT027,1906.3485
643,FDY16,OUT035,2209.7689742919274
644,FDQ27,OUT045,386.3744183006535
645,FDZ33,OUT045,1846.79
646,FDF29,OUT045,1648.9820000000004
647,FDA08,OUT049,270.13
648,FDG31,OUT046,537.92
649,FDE34,OUT019,1703.2176666666667
650,NCR30,OUT027,2304.5875
651,FDV33,OUT035,1792.42
652,DRZ24,OUT018,1026.6745
653,NCL54,OUT035,1613.99
654,FDR12,OUT049,957.815
655,NCC54,OUT046,2069.5224999999996
656,DRN59,OUT013,1068.585
657,FDX50,OUT019,1507.3475
658,FDV31,OUT027,1769.91
659,NCA29,OUT027,926.0606666666666
660,FDW60,OUT049,560.242
661,FDX08,OUT017,1590.7319263791774
662,DRD49,OUT013,1477.6733333333332
663,FDD33,OUT046,1363.0766666666666
664,FDW35,OUT013,1442.7704999999999
665,FDJ36,OUT017,1609.9979999999998
666,FDV51,OUT035,2058.32
667,FDW36,OUT046,1558.4029999999998
668,FDH35,OUT046,1199.93
669,NCS30,OUT027,1908.569166666667
670,FDN49,OUT017,311.8805431956582
671,FDL08,OUT018,327.1013141555609
672,FDI09,OUT013,1350.27
673,FDP19,OUT018,1751.02
674,FDU21,OUT010,2324.6681142058906
675,NCP41,OUT045,2063.147
676,FDY10,OUT013,311.8805431956582
677,FDP12,OUT018,1638.54
678,NCN26,OUT049,2423.91
679,FDK44,OUT013,2645.54
680,FDC28,OUT049,1495.2333333333333
681,FDJ41,OUT027,1346.7661666666663
682,NCT29,OUT035,1303.9266666666667
683,NCH42,OUT019,1898.58
684,FDU60,OUT018,2398.114075809984
685,FDS02,OUT045,1872.9015
686,FDC51,OUT046,1934.23
687,FDU03,OUT013,2302.9207528125694
688,FDX39,OUT045,1681.125
689,NCY05,OUT010,1547.9066666666665
690,NCL06,OUT027,252.70874156006602
691,FDD32,OUT035,1879.747
692,NCN41,OUT045,1707.84
693,NCX53,OUT049,278.1674330489773
694,FDU57,OUT019,1918.9
695,FDQ23,OUT046,1372.34
696,FDQ52,OUT045,1688.885
697,FDC14,OUT045,2099.77
698,FDY09,OUT035,1323.31
699,FDQ28,OUT045,2049.508333333333
700,FDV25,OUT046,1359.57
701,FDJ07,OUT035,1508.67
702,DRB25,OUT049,1742.66
703,FDK52,OUT019,1720.74
704,FDY52,OUT027,1237.42
705,FDB28,OUT046,267.25299606077266
706,FDT36,OUT035,1521.4725
707,FDV25,OUT017,1330.37
708,NCN07,OUT027,252.70874156006602
709,FDC57,OUT017,1505.5549999999996
710,FDQ03,OUT018,1489.9631666666664
711,FDU23,OUT017,1336.29
712,NCX41,OUT035,1726.7
713,NCD06,OUT035,2559.438808433355
714,FDW08,OUT045,2017.51
715,NCU29,OUT017,2161.713333333333
716,NCE06,OUT013,1191.5166666666667
717,FDV52,OUT010,877.8
718,FDB02,OUT017,2421.574
719,NCR18,OUT045,1697.13
720,FDK16,OUT049,1972.45
721,NCQ29,OUT010,1828.412
722,FDZ01,OUT019,1199.88
723,FDW27,OUT035,1240.9748333333334
724,FDD17,OUT018,188.89
725,FDW39,OUT013,756.075
726,DRH59,OUT045,1453.89
727,FDS52,OUT013,710.555
728,FDU40,OUT027,1273.2033333333334
729,NCF54,OUT013,1819.32
730,FDH46,OUT045,1707.15
731,NCP14,OUT049,2370.2689751245484
732,FDH50,OUT049,1525.9
733,DRF15,OUT010,2302.9207528125694
734,FDV27,OUT027,1844.1073333333334
735,NCJ06,OUT049,1379.44
736,FDN02,OUT018,129.7472546897547
737,FDQ51,OUT049,1535.854166666667
738,FDQ07,OUT017,1219.16
739,FDS45,OUT049,411.14
740,NCJ06,OUT045,246.58928571428572
741,FDD36,OUT035,2036.93
742,FDY25,OUT045,2385.1548084950537
743,FDU52,OUT046,428.09563725490193
744,DRK47,OUT017,146.59
745,NCL30,OUT017,1326.342
746,FDN22,OUT035,852.92
